"text","intent","language"
"Hanggang magkano ang pinakamahaling shirt ninyo?","price_inquiry","Tagalog"
"Tagpila inyong graphic tee?","price_inquiry","Cebuano"
"Pila man ang oversized shirt? Affordable ba?","price_inquiry","Cebuano"
"Magkano inyong plain na shirts?","price_inquiry","Cebuano"
"Pinaka-barato nga shirt ninyo pila?","price_inquiry","Cebuano"
"Price nitong black tee?","price_inquiry","Cebuano"
"Pila ba ang vintage style shirt?","price_inquiry","Cebuano"
"Naa ba moy affordable nga option? Budget lang ko.","price_inquiry","Cebuano"
"Pila ang inyong white tee? Gift para sa barkada.","price_inquiry","Cebuano"
"Kung mag-order ko ug duha mubaba ba ang presyo?","price_inquiry","Cebuano"
"Gidako man ang presyo sa inyong shirts karon?","price_inquiry","Cebuano"
"What sizes do you carry? I'm usually between M and L.","size_and_fit","English"
"Do you have 3XL? I need a bigger size.","size_and_fit","English"
"Is your oversized fit actually oversized or just regular?","size_and_fit","English"
"How does your sizing run — true to size or smaller?","size_and_fit","English"
"Do you have XS sizes? I'm quite petite.","size_and_fit","English"
"For a boxy fit should I size up?","size_and_fit","English"
"What size would you recommend for someone 5'4 and slim?","size_and_fit","English"
"Do you have a size chart I can check?","size_and_fit","English"
"I usually wear large but sometimes XL — which one fits looser?","size_and_fit","English"
"Can someone who's plus-size fit in your 2XL?","size_and_fit","English"
"Meron bang size chart? Para malaman ko tama.","size_and_fit","Tagalog"
"May XXL ba kayo? Medyo malaki ang katawan ko.","size_and_fit","Tagalog"
"Kasya kaya ang XS sa 5'2 na katawan?","size_and_fit","Tagalog"
"Maluwag ba ang oversized fit ninyo o katamtaman lang?","size_and_fit","Tagalog"
"Ano bang size ang angkop sa 60kg at 5'6?","size_and_fit","Tagalog"
"May 3XL ba kayo para sa mas malalaking katawan?","size_and_fit","Tagalog"
"True to size ba ang mga shirts ninyo?","size_and_fit","Tagalog"
"Dapat ba mag-size up kung gusto ng maluwag?","size_and_fit","Tagalog"
"XS ba o S para sa payat at maliit na frame?","size_and_fit","Tagalog"
"Paano malaman kung tama ang sukat na iorder ko?","size_and_fit","Tagalog"
"Naa ba moy size chart? Dili ko sure sa akong sukat.","size_and_fit","Cebuano"
"May XXL o 3XL kamo? Dako ko kaayo.","size_and_fit","Cebuano"
"Gamay ra kaayo ko. Naa ba moy XS?","size_and_fit","Cebuano"
"Maluwag ba ang oversized o mukita man ang katawan?","size_and_fit","Cebuano"
"Unsa nga size ang angay sa 55kg ug 5'3?","size_and_fit","Cebuano"
"Mag-size up ba ko kung gusto nako maluwag nga fit?","size_and_fit","Cebuano"
"True to size ba ang inyong shirts o gamay?","size_and_fit","Cebuano"
"Naa ba moy 2XL para sa plus size?","size_and_fit","Cebuano"
"Medium ba o Large para sa average na lawas?","size_and_fit","Cebuano"
"Makakita ba kos size guide sa website ninyo?","size_and_fit","Cebuano"
"How do I place an order? Is it through your page?","order_placement","English"
"Can I order directly here on chat or do I need to go to a website?","order_placement","English"
"Is there a way to reserve a shirt before it sells out?","order_placement","English"
"How do I add items to cart? I can't find the button.","order_placement","English"
"Walk me through the ordering process please.","order_placement","English"
"Can I order multiple shirts in one transaction?","order_placement","English"
"How2 order from you guys?","order_placement","English"
"Do I need to make an account to order?","order_placement","English"
"I want to buy two pieces — how do I check out?","order_placement","English"
"What info do I need to provide when ordering?","order_placement","English"
"Paano mag-order? Sa chat ba o may website?","order_placement","Tagalog"
"Pwede bang mag-reserve ng shirt dito?","order_placement","Tagalog"
"Saan ako mag-o-order — FB page o may online shop?","order_placement","Tagalog"
"Paano ang proseso ng pag-order? Bago lang ako.","order_placement","Tagalog"
"Kailangan bang mag-register para makaorder?","order_placement","Tagalog"
"Pano ko idadagdag sa cart ang gusto ko?","order_placement","Tagalog"
"May gusto akong bilhin. Ipadala ko ba ng DM?","order_placement","Tagalog"
"Makakaorder ba ako ng dalawa sabay-sabay?","order_placement","Tagalog"
"Anong info ang kailangan ninyo para sa order?","order_placement","Tagalog"
"Steps lang please para makaorder. Salamat!","order_placement","Tagalog"
"Unsaon pagorder? Sa chat ba o website?","order_placement","Cebuano"
"Pwede ba ko mag-reserve og shirt?","order_placement","Cebuano"
"Kanus-a ko makaorder? Karon pa lang ba?","order_placement","Cebuano"
"Unsay proseso sa pag-order ninyo?","order_placement","Cebuano"
"Kinahanglan ba ko mag-account para makaorder?","order_placement","Cebuano"
"Gusto kong mopalit ug duha. Unsaon?","order_placement","Cebuano"
"Diin ko ibutang ang order — DM ba o form?","order_placement","Cebuano"
"Anong impormasyon ang gikinahanglan para maorder?","order_placement","Cebuano"
"Pila ka adlaw bago maaprobahan ang order?","order_placement","Cebuano"
"Bag-o ko mangita unsaon ug order sa inyo.","order_placement","Cebuano"
"Hi! When will my order arrive? I ordered 3 days ago.","order_status","English"
"Can I track my package somewhere?","order_status","English"
"My order hasn't shipped yet — is that normal?","order_status","English"
"How long does delivery usually take from your store?","order_status","English"
"I ordered last week and still nothing. What's happening?","order_status","English"
"Do you send a tracking number after dispatch?","order_status","English"
"My tracking says it's still processing. Should I be worried?","order_status","English"
"Can you check the status of my order? Order ID 10234.","order_status","English"
"When will it be out for delivery? I need it by Friday.","order_status","English"
"Hasn't moved in 2 days — is my order stuck?","order_status","English"
"Kailan darating ang order ko? 4 days na.","order_status","Tagalog"
"May tracking number ba ang order ko?","order_status","Tagalog"
"Saan ko makikita ang status ng delivery ko?","order_status","Tagalog"
"Di pa dumadating yung order ko normal ba?","order_status","Tagalog"
"Matagal na akong naghihintay may update ba?","order_status","Tagalog"
"Ilang araw ba bago mapadala ang order?","order_status","Tagalog"
"Pwede bang i-check yung order ko? Order #5678.","order_status","Tagalog"
"Nag-order na ko kahapon kelan ma-dispatch?","order_status","Tagalog"
"Lahat ba ng orders meron tracking? Wala pa sa akin.","order_status","Tagalog"
"Update naman sa order ko please 5 days na.","order_status","Tagalog"
"Kanus-a moabot ang akong order? 3 days na.","order_status","Cebuano"
"Naa ba koy tracking number? Wala pa ko makadawat.","order_status","Cebuano"
"Diin nako makita ang status sa akong delivery?","order_status","Cebuano"
"Ga-order ko kagahapon. Kanus-a ma-ship?","order_status","Cebuano"
"Mahadlok ko nga nawala ang akong order. Pwede i-check?","order_status","Cebuano"
"Pila ka adlaw ang delivery gikan sa inyong store?","order_status","Cebuano"
"Di pa ko naka-dawat og update. Okay ra ba?","order_status","Cebuano"
"Naghulat na ko ug usa ka semana. Hain na ang akong order?","order_status","Cebuano"
"Order ID 7890 — pwede bang i-track ninyo?","order_status","Cebuano"
"Natigal na kaayo. Normal ba kana sa inyong shipping?","order_status","Cebuano"
"Do you accept GCash payments?","payment_methods","English"
"Is COD available in my area?","payment_methods","English"
"Can I pay via bank transfer? Which bank?","payment_methods","English"
"Do you accept Maya for payments?","payment_methods","English"
"What payment methods are available?","payment_methods","English"
"Is online payment secure on your store?","payment_methods","English"
"I paid already — where do I send the proof of payment?","payment_methods","English"
"Can I split payment between GCash and bank transfer?","payment_methods","English"
"Do you accept credit cards or debit cards?","payment_methods","English"
"How do I confirm my payment after GCash transfer?","payment_methods","English"
"GCash lang ba ang payment ninyo?","payment_methods","Tagalog"
"May COD ba kayo? Hindi ako familiar sa online payment.","payment_methods","Tagalog"
"Pwede bang bayad sa bank transfer? Anong bangko?","payment_methods","Tagalog"
"Tumatanggap ba kayo ng Maya?","payment_methods","Tagalog"
"Ano-anong paraan ang maaari kong gamitin sa pagbabayad?","payment_methods","Tagalog"
"Nasaan ko ipapadala ang screenshot ng GCash payment?","payment_methods","Tagalog"
"Pwede bang bayad gamit ang credit card?","payment_methods","Tagalog"
"May bayad sa pagsend ng payment confirmation?","payment_methods","Tagalog"
"COD ba available sa Cavite?","payment_methods","Tagalog"
"Ligtas ba ang online payment sa inyo?","payment_methods","Tagalog"
"GCash ba ninyo or naa pay lain?","payment_methods","Cebuano"
"May COD ba mo? Dili ko ganahan og online payment.","payment_methods","Cebuano"
"Pwede ba bayad sa bank transfer?","payment_methods","Cebuano"
"Nagdawat ba mo og Maya?","payment_methods","Cebuano"
"Unsa may mga paagi sa pagbayad?","payment_methods","Cebuano"
"Nagbayad na ko sa GCash. Asa ko magpadala og screenshot?","payment_methods","Cebuano"
"Pwede ba credit card?","payment_methods","Cebuano"
"COD ba available sa Cebu City?","payment_methods","Cebuano"
"Pag nag-COD ko unsay dapat nako buhaton?","payment_methods","Cebuano"
"Safe ba mag-online pay sa inyo?","payment_methods","Cebuano"
"Where is your physical store located?","store_contact","English"
"Do you have an Instagram or TikTok I can follow?","store_contact","English"
"What's your contact number? I prefer to call.","store_contact","English"
"Can I visit your store personally to pick up my order?","store_contact","English"
"Where can I message you other than Facebook?","store_contact","English"
"Do you have a Shopee or Lazada store?","store_contact","English"
"Is there an email I can reach you at?","store_contact","English"
"What are your business hours?","store_contact","English"
"I want to visit your store — where are you located exactly?","store_contact","English"
"Do you have a Viber or WhatsApp number?","store_contact","English"
"Saan nakalagay ang physical store ninyo?","store_contact","Tagalog"
"Ano yung IG account ninyo? Gusto ko ma-follow.","store_contact","Tagalog"
"May contact number ba kayo para matawagan?","store_contact","Tagalog"
"Pwede bang pumunta sa store para mag-pick up?","store_contact","Tagalog"
"Meron kayong Shopee store?","store_contact","Tagalog"
"Email address ninyo? Gusto ko mag-send ng message.","store_contact","Tagalog"
"Anong oras kayo bukas?","store_contact","Tagalog"
"Loc ninyo? Balak ko puntahan.","store_contact","Tagalog"
"May Viber ba kayong number?","store_contact","Tagalog"
"Saan kayo mahahanap sa social media?","store_contact","Tagalog"
"Asa man ang inyong tindahan?","store_contact","Cebuano"
"Naa ba moy Instagram? Gusto ko mo-follow.","store_contact","Cebuano"
"Contact number ninyo? Gusto ko tawagon.","store_contact","Cebuano"
"Pwede ba moadto sa store para kuhaon akong order?","store_contact","Cebuano"
"Naa ba moy Shopee o Lazada shop?","store_contact","Cebuano"
"Email address ninyo? Para nako ma-reach kamo.","store_contact","Cebuano"
"Unsay orasa nga bukas ang inyong store?","store_contact","Cebuano"
"Loc nnyo? Palabasin para moadto ko.","store_contact","Cebuano"
"Naa ba moy Viber number?","store_contact","Cebuano"
"Hain mo sa social media? TikTok o FB?","store_contact","Cebuano"
"I received the wrong shirt — can I exchange it?","return_exchange","English"
"What is your return policy? I'm not satisfied with my order.","return_exchange","English"
"The shirt I got was damaged when it arrived. What do I do?","return_exchange","English"
"I ordered size L but got size M. How can I fix this?","return_exchange","English"
"Can I return a shirt if I just don't like the color?","return_exchange","English"
"Is there a deadline for requesting an exchange?","return_exchange","English"
"How long does the exchange process take?","return_exchange","English"
"Do I have to pay for shipping when I return an item?","return_exchange","English"
"I need a refund — my shirt had a defect.","return_exchange","English"
"What documents do I need to submit for a return?","return_exchange","English"
"Mali yung natanggap ko pwede bang palitan?","return_exchange","Tagalog"
"May return policy ba kayo? Hindi ko gusto yung sukat.","return_exchange","Tagalog"
"Sira yung shirt nung dumating — ano ang gagawin ko?","return_exchange","Tagalog"
"Nag-order ako ng L pero M ang natanggap ko. Paano?","return_exchange","Tagalog"
"Pwede ba ibalik kung hindi ko gusto ang kulay?","return_exchange","Tagalog"
"Hanggang kailan pwede mag-request ng exchange?","return_exchange","Tagalog"
"Gaano katagal ang palitan ng item?","return_exchange","Tagalog"
"Ako ba ang magbabayad ng shipping para sa return?","return_exchange","Tagalog"
"May defect yung shirt. Pwede bang mag-refund?","return_exchange","Tagalog"
"Anong requirements para makapag-return?","return_exchange","Tagalog"
"Sayop ang nadawat nako. Pwede ba ipalitan?","return_exchange","Cebuano"
"Unsa inyong return policy? Dili ko ganahan sa sukat.","return_exchange","Cebuano"
"Nasamad ang shirt pag-abot. Unsa akong buhaton?","return_exchange","Cebuano"
"Nag-order ko ug L pero M ang nakuha nako. Pano na?","return_exchange","Cebuano"
"Pwede ba iuli kung dili ko ganahan sa kulay?","return_exchange","Cebuano"
"Hangtod kanus-a pwede mag-request ug exchange?","return_exchange","Cebuano"
"Pila ka adlaw ang proseso sa pagpalit?","return_exchange","Cebuano"
"Bayaran ba nako ang shipping sa pag-return?","return_exchange","Cebuano"
"Defective ang shirt nako. Pwede mag-refund?","return_exchange","Cebuano"
"Unsa ang mga requirement para sa return?","return_exchange","Cebuano"
"Do you have any ongoing sales or discounts?","promotions","English"
"Is there a promo if I buy two or more shirts?","promotions","English"
"Any free shipping vouchers available?","promotions","English"
"Got any discount codes I can use at checkout?","promotions","English"
"Are there any bundle deals happening right now?","promotions","English"
"Is there a sale going on? I saw something on your feed.","promotions","English"
"Do you give discounts for first-time buyers?","promotions","English"
"Any payday sale or monthly promo coming up?","promotions","English"
"Can I get a discount if I follow your page and share?","promotions","English"
"Do you have a referral promo? I want to share with friends.","promotions","English"
"May sale ba kayo ngayon? Gusto ko mag-avail.","promotions","Tagalog"
"Meron bang buy 2 get 1 or bundle promo?","promotions","Tagalog"
"May libre bang shipping pag malaki ang order?","promotions","Tagalog"
"Meron bang discount code? Para sa birthday ko.","promotions","Tagalog"
"May promo ba para sa first-time buyers?","promotions","Tagalog"
"Nakita ko may sale daw — totoo ba?","promotions","Tagalog"
"Payday sale meron ba kayo?","promotions","Tagalog"
"May referral promo ba? Gusto ko ishare sa friends.","promotions","Tagalog"
"Magkakamura ba kung mag-share ng post ninyo?","promotions","Tagalog"
"Anong pinakabagong promo ngayon sa store ninyo?","promotions","Tagalog"
"Naa bay sale karon? Gusto ko mag-avail.","promotions","Cebuano"
"May bundle promo ba mo? Kung mopalit ug duha?","promotions","Cebuano"
"Free shipping ba kung dako ang order?","promotions","Cebuano"
"Naa bay discount code para sa birthday nako?","promotions","Cebuano"
"May promo ba para sa bag-ong customer?","promotions","Cebuano"
"Nakita nako may sale — tinuod ba na?","promotions","Cebuano"
"Payday sale naa mo?","promotions","Cebuano"
"May referral promo ba? Para ma-share nako sa friends.","promotions","Cebuano"
"Makakuha ba kog diskwento kung mo-follow ug mag-share?","promotions","Cebuano"
"Unsa ang pinakabag-o nga promo ninyo?","promotions","Cebuano"
"hello po may tanong lang","greeting","Tagalog"
"hi! first time ko mag-order dito","greeting","mixed"
"hoy! naa moy tao?","greeting","Cebuano"
"hey quick question lang","greeting","mixed"
"gud pm!","greeting","English"
"xl black tee available?","product_inquiry","English"
"naa moy white polo?","product_inquiry","Cebuano"
"may bago bang designs?","product_inquiry","Tagalog"
"any drop shoulders?","product_inquiry","English"
"pang streetwear ba kayo?","product_inquiry","mixed"
"hm?","price_inquiry","English"
"magkano yung oversized?","price_inquiry","Tagalog"
"pila black tee?","price_inquiry","Cebuano"
"price ng graphic tee?","price_inquiry","mixed"
"mahal ba?","price_inquiry","Tagalog"
"xl?","size_and_fit","English"
"naa moy meduim?","size_and_fit","Cebuano"
"may 3xl ba?","size_and_fit","Tagalog"
"oversized ba talaga or regular fit lang?","size_and_fit","mixed"
"boxy fit ba siya?","size_and_fit","mixed"
"how2 order?","order_placement","English"
"pano b mag order dito","order_placement","Tagalog"
"unsaon ug order sa inyo?","order_placement","Cebuano"
"chat lang ba or may form?","order_placement","mixed"
"pwede ba mag-DM para umorder?","order_placement","mixed"
"wer na order ko?","order_status","mixed"
"kelan darating?","order_status","Tagalog"
"hain na akong padala?","order_status","Cebuano"
"tracking number ko pls","order_status","mixed"
"2 days na wala pa rin","order_status","Tagalog"
"gcsh ba?","payment_methods","mixed"
"may cod?","payment_methods","mixed"
"gcash or cod lang ba?","payment_methods","English"
"gcash ba accepted dito?","payment_methods","mixed"
"do you accept gcash po?","payment_methods","mixed"
"loc?","store_contact","English"
"wer loc nnyo","store_contact","mixed"
"asa mo?","store_contact","Cebuano"
"ig ninyo?","store_contact","mixed"
"contact num nyo?","store_contact","mixed"
"mali size nadala sakin","return_exchange","Tagalog"
"sira nung dating niya how to return?","return_exchange","mixed"
"pwede pa bang palitan?","return_exchange","Tagalog"
"naa bay return policy?","return_exchange","Cebuano"
"defective item can i get refund","return_exchange","English"
"sale?","promotions","English"
"may disc ba ngayon?","promotions","mixed"
"naa bay promo karon?","promotions","Cebuano"
"libre shipping?","promotions","mixed"
"any voucher codes?","promotions","English"
